iter	Passed	Remaining
154	262544	1431291
155	264208	1429433
156	265827	1427339
157	266889	1422282
158	268274	1418988
159	270117	1418116
160	271320	1413898
161	272793	1411117
162	274370	1408884
163	275932	1406583
164	277178	1402690
165	278518	1399306
166	280288	13980851167	282377	13984391168	284794	14003811169	287145	14019431170	289337	14026961171	291730	14043791172	293791	14044261173	295606	14032811174	298076	14052181175	299779	14035111176	301619	14024431177	302836	13984901178	304318	13957851179	305742	13928261180	307184	1389968
181	309113	1389310
182	311027	1388576
183	312892	1387609
184	314708	1386419
185	316396	1384658
186	318378	1384182
187	320338	1383589
188	321849	1381059
189	323973	1381150
190	325706	1379561
191	326883	1375636
192	328372	1373038
193	329781	13701241194	331394	13680651195	333439	13677821196	335092	13658841197	336541	13631611198	338514	13625621199	340435	1361742
200	341990	1359455
201	343511	1357039
202	344889	1354072
203	346222	1350946
204	347361	1347086
205	349550	1347295
206	351472	1346461
207	352939	1343885
208	355425	1345173
209	357258	1343971
210	358909	1342082
211	360229	1338966
212	361685	1336369
213	363061	1333488
214	364673	1331483
215	366010	1328481
216	367301	1325330
217	368820	1323017
218	370744	1322151
219	372346	1320136
220	373706	1317271
221	375109	1314573
222	376837	1313015
223	378113	1309893
224	379481	13071032225	380593	13034472226	381987	13007752227	383424	12982622228	384718	12952742229	386254	1293113
230	387531	1290093
231	388667	1286621
232	390304	1284822
233	391759	1282425
234	393042	1279477
235	394348	1276620
236	395830	1274339
237	397108	1271416
238	398387	1268506
239	399463	1264966
240	400893	1262565
241	402006	1259178
242	403012	1255475
243	404193	1252337
244	405136	1248482
245	406255	1245188
246	407358	1241865
247	408274	12379942248	409420	1234838
249	410578	1231736
250	411688	1228504
251	412780	12252372252	413846	12219092253	414970	12187712254	415953	12152352255	417003	12119152256	418177	12089722257	420117	12082452258	420941	12043142259	422107	12013822260	423285	11984982261	424477	11956642262	425653	11928022263	426806	11898852264	427941	11869332265	429426	11849582266	430948	11830912267	432354	11809092268	434424	11805352269	435170	11765732270	436536	11742982271	438566	11738102272	439717	11709702273	440824	11680232274	441993	11652552275	442592	11610022276	444582	11604072277	445794	11577832278	447058	11553012279	448136	11523512280	449604	11504102281	451211	11488302282	452753	11470832283	454280	11452992284	455860	11436502285	457071	11410792286	458040	11379192287	459146	11351112288	460262	11323412289	462134	11314322290	463483	11292432291	465061	11276142292	466405	11254222293	467724	11231742294	468388	11193692295	469908	11176202296	471199	11153302297	472985	11142142298	475537	11148872299	477706	11146473300	479322	1113111
301	480779	1111206
302	482108	1109007
303	483536	1107044
304	484791	1104689
305	486260	1102825
306	487457	1100352
307	488737	1098073
308	490002	1095766
309	491764	1094572
310	494219	1094910
311	495819	1093345
312	497379	1091692
313	499002	1090177
314	500704	1088833
315	502372	1087412
316	504024	1085958
317	506064	1085333
318	508491	1085525
319	510835	1085524
320	512175	1083387
321	513538	1081301
322	515932	1081380
323	517692	1080123
324	519008	1077941
325	521292	1077763
326	522946	1076278
327	525204	1076029
328	527257	1075348
329	528968	1073965
330	530544	1072309
331	532689	1071796
332	534422	1070449
333	536294	1069377
334	537889	1067751
335	539716	1066582
336	541308	1064948
337	542977	1063464
338	545205	1063069
339	546622	1061090
340	548092	1059216
341	549815	1057831
342	551858	1057059
343	554132	1056717
344	555605	1054844
345	557632	1054022
346	559684	1053239
347	561390	1051800
348	562980	1050144
349	564897	1049095
350	566676	1047785
351	568297	1046183
352	569739	1044254
353	570775	1041585
354	572382	1039961
355	573914	1038205
356	575568	1036668
357	577013	1034756
358	579454	1034624
359	580939	1032781
360	582729	1031479
361	584141	1029508
362	585704	1027807
363	587754	1026955
364	589595	1025734
365	590774	1023362
366	592238	10214903367	593833	1019844
368	595297	10179743369	596828	1016221
370	597393	10128323371	598812	10108983372	600005	10085883373	601278	10064183374	602712	10045213375	604304	10028883376	607478	10038693377	608839	10018463378	610359	10000883379	611779	9981653380	613590	9968833381	615403	9955993382	617054	9940543383	619336	9935193384	621405	9926343385	623704	9921103386	625942	9914793387	628404	9911943388	630505	9903303389	632686	9895863390	634972	9889973391	637129	9882013392	638861	9867393393	641281	9863363394	642810	9845573395	644181	9825403396	646145	9814243397	647605	9795443398	649232	9779163399	650479	9757194400	651717	9735124401	653278	9717924402	654539	9696284403	656428	968394
404	658587	967553
659685	965154
406	661053	963157
